"product_id","product_name","description","product_price","product_type_id"
49,"English Breakfast Lg","The Queen's favourite cuppa in the morning. ","3",21
50,"Earl Grey Rg","Tradition in a cup.","2.5",21
51,"Earl Grey Lg","Tradition in a cup.","3",21
52,"Traditional Blend Chai Rg","Sit back and think of the tropical breezes.","2.5",22
53,"Traditional Blend Chai Lg","Sit back and think of the tropical breezes.","3",22
54,"Morning Sunrise Chai Rg","Face the morning after your yoga routine. ","2.5",22
55,"Morning Sunrise Chai Lg","Face the morning after your yoga routine. ","4",22
56,"Spicy Eye Opener Chai Rg","When you need your eyes opened wide.","2.55",22
57,"Spicy Eye Opener Chai Lg","When you need your eyes opened wide.","3.1",22
58,"Dark chocolate Rg","Slightly bitter, but still very rich. ","3.5",23
59,"Dark chocolate Lg","Slightly bitter, but still very rich. ","4.5",23
60,"Sustainably Grown Organic Rg","Just pure notes of spice.","3.75",23
61,"Sustainably Grown Organic Lg","Just pure notes of spice.","4.75",23
62,"Snow Day Hot Chocolate","Added marshmallows for the needed sugar rush.","3",23
63,"Carmel syrup","Rich carmel taste","0.8",24
64,"Hazelnut syrup","Bursting with nutty flavour","0.8",24
65,"Sugar Free Vanilla syrup","Our favorite","0.8",25
66,"Pumpkin Spice Latte","Boo, its that time of year again","4.95",26
67,"Pumpkin Spice Latte Lg","Boo, its that time of year again","5.95",26
68,"Happy Holidays hot chocolate","Candy cane and hot chocolate, perfect.","3.75",27
69,"Hazelnut Biscotti","Crunch!","3.5",28
70,"Cranberry Scone","Like Grandma used to make","3.25",29
71,"Chocolate Croissant","Chocolate flakes","3.75",30
72,"Ginger Scone","Little bit of spice","3.25",29
73,"Almond Croissant","Crunch!","3.75",30
74,"Ginger Biscotti","Crunch!","3.5",28
75,"Croissant","Flakey and buttery","3.5",30
76,"Chocolate Chip Biscotti","Crunch!","3.5",28
77,"Oatmeal Scone","Grannys fav","3",29
78,"Scottish Cream Scone ","Old time comfort","4.5",29
79,"Jumbo Savory Scone","Anytime, anywhere","3.75",29
80,"I Need My Bean! Toque","keep your head bean warm","23",31
81,"I Need My Bean! T-shirt","Stylish chic","23",31
82,"I Need My Bean! Diner mug","Classic","23",32
83,"I Need My Bean! Latte cup","The cup and saucer set is the perfect way to enjoy your latte at home","23",32
84,"Chocolate syrup","Bursting with chocolate flavour","0.8",24
85,"Rio Nights","2 shots of Ouro Brasilerio and pure cane sugar syrup","6",33
87,"Ouro Brasileiro shot","From Rio","3",33
88,"Ouro Brasileiro shot promo","Ouro promo","2.1",33
89,"Ginger Scone promo","Little bit of spice","2.65",29
